Sr.No,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
425,09 June 2015,Teritree,Digital Marketing Services,Bangalore,KCL,Seed Funding,"1,40,000",
426,10 June 2015,Guiddoo,Travel Guide Mobile App,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,N/A,
427,10 June 2015,Voonik,Fashion Ecommerce store,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"50,00,000",Series A
428,11 June 2015,AdStringO,Mobile Compression Software,Mumbai,"Arihant Patni, Vishal Khare,  Viswanath Ramachandran",Seed Funding,"3,50,000",
429,11 June 2015,Faircent.com,Peer to Peer Lending platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,"2,50,000",Pre-Series A
430,12 June 2015,La Renon,Global Healthcare products,Ahmedabad,Sequoia Capital,Private Equity,"1,60,00,000",Series A
431,15 June 2015,Homelane,Home Furnishing Solutions,Bangalore,Sequoia Capital,Private Equity,"5,00,00,000",Series B
432,15 June 2015,iSTAR,Skill Training & Placement Platform,Bangalore,Unitus Seed Fund,Private Equity,N/A,Series A
433,15 June 2015,Shippr,Intra-City Logistics service,Bangalore,i2india Pvt Ltd,Seed Funding,"5,00,000",
434,16 June 2015,FoodAbhi,online tiffin service aggregator,Mumbai,Group of angel investors,Seed Funding,N/A,
435,16 June 2015,Karma Recycling,Electronic Goods recycling service,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,N/A,Series A
436,16 June 2015,CouponRaja,Online Coupon & comparison platform,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"5,00,000",
437,17 June 2015,Babychakra,Parents & Kids Online platform,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,N/A,
438,17 June 2015,Jiffstore,Online Grocery platform,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,N/A,additional funding round
439,17 June 2015,MyDentist,Dental Clinic chain,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"82,00,000",Series C
440,18 June 2015,Moovo,On-Demand Logistics Service,New Delhi,YouWeCan Ventures,Seed Funding,N/A,
441,18 June 2015,Fracktal Works,3D Printer Manufacturer,Bangalore,Neoteric Infomatique Limited,Private Equity,"30,00,000",Series A
442,18 June 2015,Hansa Customer Equity,IT / Customer Engagement Consulting,Mumbai,ASK Pravi,Private Equity,"50,00,000",Series A
443,18 June 2015,HealthifyMe,Health & Fitness App,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,N/A,Series A
444,18 June 2015,CAKART.in,Online Education Marketplace,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,N/A,
445,19 June 2015,Housejoy,Home services marketplace,Bangalore,Matrix Partners,Private Equity,"40,00,000",Series A
446,19 June 2015,FundsIndia.com,Financial Services Platform,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"1,10,00,000",Series C
447,20 June 2015,Cupick,Social Network for Artists,Bangalore,Group of Angel Investors from US/India,Seed Funding,"1,20,000",
448,20 June 2015,Tracxn,Startup funding platform,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"1,00,00,000",Series A
449,21 June 2015,Holachef,Food Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"31,00,000",Series A
450,22 June 2015,belong,Data Driven recruitment recommendation,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"50,00,000",Series A
451,22 June 2015,Ixigo,Travel Search Engine,Gurgaon,Micromax Informatics,Private Equity,N/A,Strategic Investment
452,22 June 2015,SkillAngels,Brain Games Platform,Chennai,Sprout Angels LLP,Seed Funding,N/A,
453,22 June 2015,Vidgyor,Video Advertisement Platform,Bangalore,AngelPrime,Seed Funding,"5,00,000",
454,22 June 2015,Banihal,Algorithmic Match Making Platform,New Delhi / California,Dr David Cheriton,Seed Funding,N/A,
455,23 June 2015,Goodservice,Mobile Chat based concierge service,New Delhi,Sequoia Capital,Private Equity,"16,00,000",Series A
456,23 June 2015,Treebo,Online Budget Hotel Booking Service,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"60,00,000",Series A
457,23 June 2015,EduKart,Online education marketplace,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"10,00,000",Series A
458,23 June 2015,Healthians.com,Preventive healthcare services,Hyderabad,YouWeCan Ventures,Seed Funding,N/A,
459,24 June 2015,LabInApp,Science Learning App,Bangalore,Unitus Seed Fund,Seed Funding,N/A,
460,24 June 2015,Syona Cosmetics,Beauty and Wellness platform,Chennai,Chennai Angels,Seed Funding,N/A,
461,24 June 2015,Sigrid Education,Online Education Platform,Noida,Oliphans Capital,Seed Funding,N/A,
462,24 June 2015,Indix,SaaS product intelligence platform,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"1,50,00,000",Series C
463,24 June 2015,The Porter,Logistics Tech,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"55,00,000",Series A
464,24 June 2015,Retention.ai,App Analytics platform,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"5,00,000",
465,25 June 2015,Fusion Microfinance,Micro Finance Platform,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"86,00,000",Series C
466,25 June 2015,Zinka,Freight logistics platform,Bangalore,"Accel Partners, Flipkart",Private Equity,"60,00,000",Series A
467,26 June 2015,CreditMantri,Credit Management Services,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"25,00,000",Series A
468,26 June 2015,GetMyPeon,Hyperlocal Handyman Services,Mumbai,Undisclosed investors,Seed Funding,"2,50,000",
469,29 June 2015,UrbanClap,Hyperlocal services marketplace,New Delhi,"SAIF Partners,  Accel Partners",Private Equity,"1,00,00,000",Series A
470,29 June 2015,StayGlad,Beauty services Mobile Marketplace,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,N/A,
471,29 June 2015,AdWyze,Marketing / Advertising Automation platform,Bangalore,Mape Advisory,Seed Funding,"10,00,000",
472,29 June 2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"4,00,000",
473,30 June 2015,Buttercups,Online Lingerie platform,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,N/A,
474,30 June 2015,RailYatri,Railways Information Mobile app,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,N/A,Pre-Series A
475,30 June 2015,aagaar.com,Hyperlocal grocery delivery,Gurgaon,Group of Investors,Seed Funding,N/A,
476,30 June 2015,Flatchat,Flat rental Mobile App,Bangalore,Commonfloor,Private Equity,"25,00,000",Strategic Funding
477,30 June 2015,MyCFO,Wealth Management Platform,Mumbai,Sameer Koticha,Private Equity,"15,00,000",Series A
478,01 July 2015,Parcelled,Online Logistics Platform,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,N/A,
479,01 July 2015,Retigence Technologies,Business IT Intelligence Services,Mumbai,Omnivore Partners,Private Equity,N/A,Series A
480,01 July 2015,Cloudcherry Analytics,CRM / Analytics platform,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,"10,00,000",
481,01 July 2015,HandyHome,Hyperlocal Electronics repair Service,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"6,30,000",
482,01 July 2015,iDreamCareer,Ed-Tech Platform,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,N/A,
483,01 July 2015,Ola Cabs,Cab rental Mobile app,Bangalore,Ratan Tata,Private Equity,N/A,Personal Investment
484,01 July 2015,NxtGen,IT infrastructure & Data Center services,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,"1,35,00,000",Series A
485,02 July 2015,BankBazaar,Online Financial Services,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,"6,00,00,000",Series C(More here)
486,02 July 2015,Gozoomo,Used Car Marketplace,Bangalore,SAIF Partners,Private Equity,"50,00,000",Series A
487,02 July 2015,Zenatix,Internet of Things platform,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,"1,61,000",
488,03 July 2015,CultureAlley,Language Learning App,Jaipur,Tiger Global,Private Equity,"65,00,000",Series A
489,03 July 2015,Goqii,Mobile Fitness Marketplace,Mumbai,Vijay Shekhar Sharma,Private Equity,N/A,Pre-Series A
490,03 July 2015,Gingercrush,Custom Merchandize platform,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,"10,00,000",
491,04 July 2015,Elanic,P2P Pre-owned goods marketplace,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,N/A,
492,04 July 2015,Stitchwood,Custom Furniture Marketplace,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,"3,95,000",
493,05 July 2015,Urban Tailor,Online Tailoring Services,Bangalore,Group of angel investors,Seed Funding,N/A,
494,06 July 2015,ConfirmtTkt,Rail Ticket Confirmation predictor,Bangalore,Pravin Agarwala & others,Seed Funding,N/A,
495,06 July 2015,Paper Boat,Ethnic Beverages manufacturer,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,"3,00,00,000",Series B
496,06 July 2015,getNow,Hyperlocal Goods marketplace,Nagpur,Atulya Mittal,Seed Funding,N/A,
497,07 July 2015,Wudstay,Budget Accommodation aggregator,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,"30,00,000",Series A
498,07 July 2015,Liases Foras,Real Estate Rating & Analysis,New Delhi,DMG information Asia Pacific,Private Equity,"50,00,000",Series A
499,07 July 2015,Eatlo,Food Delivery platform,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,N/A,
500,07 July 2015,IndiaLends,Financial Tech,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,N/A,Pre-Series A
501,08 July 2015,Quinto,Food Discovery App,Pune,Jaydeep Barman,Seed Funding,N/A,
502,08 July 2015,Saavn,Music Streaming App,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,"10,00,00,000",Series C
503,08 July 2015,Flytxt,Big Data & Analytics platform,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,"1,10,00,000",Series A
504,08 July 2015,Axtria,Big Data & Analytics platform,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,"3,00,00,000",Series C
505,08 July 2015,33Coupons,Coupon Aggregator Platform,Kanpur,Not Disclosed,Seed Funding,"20,000",
506,08 July 2015,Ampere,Electric Scooter manufacturer,Coimbatore,Ratan Tata,Seed Funding,N/A,
507,08 July 2015,Hopping Chef,Online Food-Tech Platform,Mumbai,Mirah Hospitality,Seed Funding,"4,70,000",Strategic Investment
508,08 July 2015,Collectabillia,Celebrity Fashion Brand,Bangalore,Accel Partners,Private Equity,"75,00,000",Series B
509,08 July 2015,Lendingkart,Online Finance lending platform,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,"1,00,00,000",Series A
510,08 July 2015,Lybrate,Healthcare Mobile App,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,"1,02,00,000",Series A
511,08 July 2015,Zoomcar,Self-driven vehicle rental,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,"1,10,00,000",Series B
512,09 July 2015,News in shorts,News Aggregator mobile app,Noida,Tiger Global,Private Equity,"2,00,00,000",Series B
513,09 July 2015,Bluestone,Online Jewellery Store,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,"1,62,00,000",
514,09 July 2015,Shopsity,Fashion Info Aggregator App,Gurgaon,"Sandeep Aggarwal, Teruhide Sato",Seed Funding,N/A,
515,09 July 2015,Notesgen,Online Study Notes Marketplace,New Delhi,"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,N/A,
516,10 July 2015,Infinity Assurance,Warranty Programs Service Administration,New Delhi,Indian Angel Network,Seed Funding,"6,00,000",
517,10 July 2015,Footprints Education,Pre-School Chain,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,"6,85,000",
518,10 July 2015,Loylty Rewards,Premium Loyalty Rewards Point Management,Mumbai,IndianIdeas.com,Private Equity,"1,93,50,000",Late Stage
519,13 July 2015,Ameyo,Contact Center Software Platform,Gurgaon,Forum Synergies PE Fund,Private Equity,"50,00,000",Series A
520,13 July 2015,Mamagoto,Casual Dining restaurant Chain,New Delhi,Goldman Sachs,Private Equity,"1,00,00,000",Series A
521,13 July 2015,Satvacart,Online Grocery Delivery,Gurgaon,Palaash Ventures,Seed Funding,N/A,
522,14 July 2015,MySmartPrice,Online comparison engine,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,"1,00,00,000",Series B
523,14 July 2015,Zenify,Residential Rental management platform,Bangalore,Atul Jalan,Seed Funding,N/A,
524,14 July 2015,Boxmyspace,Physical Storage warehouses,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,"3,00,000",
525,14 July 2015,HackerRank,Tech Recruitment platform,Bangalore,HR Technology fund,Private Equity,"75,00,000",Series C
526,14 July 2015,WickedRide,Bike Rental Platform,Bangalore,Undisclosed,Seed Funding,"7,90,000",
527,14 July 2015,WoWexpress,Tech enabled logistics platform,Mumbai,Tamarind Family Private Trust,Seed Funding,"5,00,000",
528,15 July 2015,Oyo Rooms,Budget Hotel Accommodation,Gurgaon,"Softbank, Sequoia Capital",Private Equity,"10,00,00,000",Series B
529,15 July 2015,Mobikon,Restaurant customer engagement platform,Pune,Jungle Ventures,Private Equity,"23,00,000",Series B
530,15 July 2015,InstaLively.com,Live video streaming app,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,N/A,
531,15 July 2015,Roadrunnr,Hyper local logistics platform,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,"1,10,00,000",Series A
532,16 July 2015,Ketto,Crowd Funding Platform,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,"7,00,000",
533,17 July 2015,QuikWallet,F&B sector Mobile Payment platform,Mumbai,Snow Leopard Technology Ventures,Private Equity,"16,00,000",Follow on Funding
534,17 July 2015,Omnikart,Industrial Supplies B2B ecommerce,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,"1,00,000",
535,20 July 2015,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,"1,50,00,000",No confirmation
536,20 July 2015,Innoviti,Payment Solutions platform,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,"48,50,000",Series A
537,21 July 2015,ZenRadius,Online Hiring Platform,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,N/A,
538,21 July 2015,Joy by nature,Organic Food ecommerce,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,"10,00,000",Series A
539,22 July 2015,Iqlect,Big Data & Analytics platform,Bangalore,Exfinity Venture Partners,Private Equity,"20,00,000",Series A
540,22 July 2015,deGustibus,Fine Dining Restaurant Chain,Mumbai,India Value Fund Advisors,Private Equity,"3,00,00,000",Late Stage
541,23 July 2015,Nestaway,Luxury Rental Homes,Bangalore,"Flipkart, Tiger Global",Private Equity,"1,27,50,000",Series A
542,23 July 2015,Mswipe,Mobile Point of Sale payment solution,,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity,"2,50,00,000",Series B
543,23 July 2015,Myonsto,Online Grocers,Ahmedabad,Jayant Bokadia,Seed Funding,"3,20,000",
544,23 July 2015,iCrushiFlush,Casual Dating App,Mumbai,IDG Ventures India,Seed Funding,N/A,
545,23 July 2015,MedGenome,Clinical Genomics Provider,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000",Series B
546,23 July 2015,HolidayIQ,Travel information portal,Bangalore,MakeMyTrip,Private Equity,"1,50,00,000",Strategic Investment
547,23 July 2015,Fitternity,Fitness Marketplace,Mumbai,Exfinity Venture Partners,Private Equity,"10,00,000",Series A
548,23 July 2015,Quikr,Online & Mobile classified listings,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,"6,00,00,000",Late Stage
549,23 July 2015,JetSetGo,Private Jet/ Helicopter Marketplace,New Delhi,YourWeCan Ventures,Seed Funding,N/A,
550,24 July 2015,BroEx,Real Estate Broker network App,Gurgaon,Lightspeed India,Private Equity,"10,00,000",Bridge round
551,25 July 2015,Shopatplaces,Ethnic/ Traditional Fashion Store,New Delhi,Indian Angel Network,Seed Funding,N/A,
552,25 July 2015,CredR,Used Bikes Marketplace,Mumbai,Fidelity Growth Partners,Private Equity,"1,50,00,000",Series A
553,27 July 2015,ManageMySpa,Spa & Salon Management Software,Hyderabad,Accel Partners,Private Equity,"60,00,000",Series A
554,27 July 2015,Townrush,B2B logistics delivery platform,Bangalore,Lightspeed Venture Partners,Seed Funding,N/A,
555,27 July 2015,Locus,Logistics Automation Platform,Bangalore,"growX ventures,  Manish Singhal",Seed Funding,N/A,
556,27 July 2015,Bevy,Online Hiring Platform,Bangalore,Varun Agarwal & Others,Seed Funding,N/A,
557,28 July 2015,Pepperfry,Online home décor marketplace,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,"10,00,00,000",Series D
558,28 July 2015,Flipkart.com,Online Marketplace,Bangalore,Steadview Capital and existing investors,Private Equity,"70,00,00,000","Late Stage, 10th RoundMore here"
559,28 July 2015,Opinio,Hyperlocal food & grocery store,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,"13,00,000",
560,28 July 2015,Zoctr,Health-Tech platform,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,"10,00,000",
561,29 July 2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,  Mohandas Pai",Private Equity,"20,00,000",Series A
562,29 July 2015,trueHb,Medical Tech Instruments,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,"24,00,000",
563,29 July 2015,Zovi.com/ Little App,Hyperlocal Deals Marketplace,Bangalore,"Paytm, SAIF Partners,  Tiger Global Management & others",Private Equity,"5,00,00,000",Series A
564,29 July 2015,Swajal,Innovative Water Solutions,Gurgaon,Abhishek Gupta,Private Equity,"12,00,000",Series A
565,30 July 2015,Pipa Bella,Online Jewelry Store,Mumbai,LionRock Capital,Private Equity,"6,00,000",Pre-Series A
566,30 July 2015,Pragmatix,Business intelligence & Analytics,Mumbai,SIDBI Venture Capital Ltd,Private Equity,"24,00,000",Series A
567,30 July 2015,Droom.in,Used Vehicle Marketplace,New Delhi,"Lightbox Ventures, Beenos",Private Equity,"1,60,00,000",Series A
568,30 July 2015,MadRat Games,Educational Board Games,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,"1,68,000",
569,30 July 2015,Noodle Play,Chinese food delivery,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,"1,68,000",
570,30 July 2015,Wassup,On-Demand Laundry & Dry cleaning App,Chennai,B S Nagesh,Private Equity,N/A,Pre-Series A
571,30 July 2015,Cartisan,On-Demand Car services App,Bangalore,"YouWeCan Ventures,  Aprameya Radhakrishna",Seed Funding,N/A,
572,31 July 2015,LazyLad,Hyperlocal Grocery App,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,"5,00,000",pre-Series A
573,31 July 2015,TripFactory,Online Curated Holiday package bookings,Bangalore,"Aarin Capital Partners,",Private Equity,N/A,Series A
574,31 July 2015,Prothom,Hasbro Toy Manufacturer,Pune,Oliphabs Capital,Private Equity,"20,00,000",Series A
575,31 July 2015,Bona Vita,Travel Tech,Gurgaon,MakeMyTrip,Private Equity,"50,00,000",Strategic Investment
576,02 January 2015,LensKart,"TPG Growth, TR Capital, IDG Ventures",Private Equity,"21,50,000",,,
577,02 January 2015,VioletStreet,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",SeedFunding,"3,15,000",,,
578,05 January 2015,Lookup,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",SeedFunding,"3,80,000",,,
579,05 January 2015,#Fame,TO THE NEW Ventures,Private Equity,"1,00,00,000",,,
580,05 January 2015,Gympik,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,"1,35,000",,,
581,06 January 2015,Near.in,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,"2,85,000",,,
582,06 January 2015,Purplle.com,IvyCap Ventures,Private Equity,N/A,,,
583,06 January 2015,NumberMall,SRI Capital,Private Equity,"1,00,00,000",,,
584,06 January 2015,Tookitaki,"Jungle Ventures, Redbright Partners, Blume Ventures",PrivateEquity,"10,00,000",,,
585,06 January 2015,Frankly,Matrix Partners,Seed Funding,"6,00,000",,,
586,07 January 2015,Faircent,"Devesh Sachdev, Ashish Tiwari",Seed Funding,N/A,Valuation at $4M,,
587,07 January 2015,Nurturey,Seedrs Crowd funding platform,Crowd funding,"1,25,000",,,
588,07 January 2015,Bewakoof,"Rohit Bansal, Kunal Bahl, Nikhil Vora",Seed Funding,N/A,,,
589,07 January 2015,Stridalyzer,Kickstarter,Crowd Funding,"30,768",,,
590,07 January 2015,Commonfloor,Google Capital,Private Equity,"50,00,000",3rd Round,,
591,09 January 2015,Sokrati,"IvyCap Ventures, Inventus Capital",Private Equity,N/A,Series B,,
592,09 January 2015,YepMe,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,"1,30,00,000",Series A,,
593,09 January 2015,TapCibo,Alok Goel,Seed Funding,N/A,,,
594,12 January 2015,Verayu,"GWB Group, Blume Ventures",Private Equity,N/A,,,
595,12 January 2015,MyDreamStore,Undisclosed Investors,Seed Funding,"2,90,000",,,
596,13 January 2015,AppVirality,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, TNN Capital & IIG",Seed Funding,N/A,,,
597,14 January 2015,RateGain,TA Associates,Private Equity,"5,00,00,000",,,
598,15 January 2015,Wishberry,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,"6,50,000",,,
599,16 January 2015,eKincare,Adroitent Pvt. Ltd.,Seed Funding,"1,61,000",,,
600,18 January 2015,ShopClues,Tiger Global & Other investors,Private Equity,"10,00,00,000",More Details,,
601,19 January 2015,Refiral,Cogent E Services,Seed Funding,"3,30,000",,,
602,19 January 2015,Ping Digital,Consortium of Angel Investors,Seed Funding,N/A,,,
603,19 January 2015,HealthyWorld.in,Group of Angel Investors,Seed Funding,"2,00,000",,,
604,19 January 2015,Hostel Dunia,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",,,
605,19 January 2015,Play your sport,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",,,
606,19 January 2015,Yo Grad,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",,,
607,19 January 2015,Enabli,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",,,
608,19 January 2015,CBS,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",,,
609,20 January 2015,Hopscotch,Eduardo Saverin & Velos Capital,Private Equity,"1,10,00,000",,,
610,20 January 2015,Amagi Media Labs,Premji Invest & Mayfield Fund,Private Equity,N/A,,,
611,20 January 2015,HealthyWorld.in,Group of Angel Investors,Seed Funding,"2,00,000",,,
612,21 January 2015,Simplilearn,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,"1,47,50,000",,,
613,21 January 2015,MyDreamStore,Undisclosed Investors,Seed Funding,"3,25,000",,,
614,21 May 2015,Knit,"Rohit Jain, Amit Rambhia & Others",Seed Funding,N/A,,,
615,21 May 2015,Villgro,Michael & Susan Dell Foundation,Seed Funding,"32,50,000",To fund edu startups,,
616,22 January 2015,Corporate360,Group of Angel Investors,Seed Funding,"2,00,000",,,
617,22 January 2015,Freshmonk,"August Capital Partners, Michael Blakey",Seed Funding,N/A,,,
618,22 January 2015,Englishleap.com,ANALEC,Private Equity,N/A,Majority Stake,,
619,22 January 2015,Antuit,"Goldman Sachs, Zodius Capital",Private Equity,"5,60,00,000",,,
620,22 January 2015,Caratlane.com,Tiger Global,Private Equity,"3,10,00,000",Series D,,
621,24 January 2015,Aasaanjobs,"Inventus Capital Partners, IDG Ventures",Seed Funding,"15,00,000",,,
622,24 January 2015,Impartus,Kaizen Private Equity,Private Equity,N/A,Series A,,
623,25 January 2015,Thrill App,People Group (Shaadi.com),Private Equity,"10,00,000",Strategic Funding,,
624,27 January 2015,CarDekho.com,"Hillhouse Capital, Tybourne Capital",Private Equity,"5,00,00,000",Series B,,
625,28 January 2015,Grabhouse.com,"Kalaari Capital, Sequoia Capital",Private Equity,"25,00,000",Series A,,
626,29 January 2015,Printvenue,Asia Pacific Internet Group,Private Equity,"45,00,000",,,
627,29 January 2015,Graphene,KARSEMVEN Fund,Private Equity,"8,25,000",Govt backed VC Fund,,
628,30 January 2015,Mad Street Den,"Exfinity Fund, GrowX Ventures.",Private Equity,"15,00,000",,,
629,30 January 2015,Simplotel,MakeMyTrip,Private Equity,N/A,"Strategic Funding, Minority stake",,
630,31 January 2015,couponmachine.in,UK based Group of Angel Investors,Seed Funding,"1,40,000",,,
631,02 February 2015,Faaya,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event,,
632,02 February 2015,InstaBounce,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event,,
633,02 February 2015,Chloroplast Foods,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event,,
634,02 February 2015,Dealwithus,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event,,
635,02 February 2015,CleverSharks,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event,,
636,02 February 2015,Leaf,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event,,
637,02 February 2015,SmartPocket,"Sol Primero, Rajiv Mehta",SeedFunding,"2,50,000",For mobile app,,
638,02 February 2015,Yumist,Orios Venture Partner,Private Equity,"10,00,000",,,
639,02 February 2015,NowFloats,Omidyar Network,Private Equity,N/A,Series A,,
640,02 February 2015,FirstCry,Valiant Capital Partners,Private Equity,"2,60,00,000",Series D,,
641,02 February 2015,HolaChef,India Quotient,SeedFunding,"3,25,000",,,
642,03 February 2015,Frsh.co.in,"India Quotient, Kae Capital",SeedFunding,"5,18,000",,,
643,03 February 2015,Manthan,"Temasek, Norwest Venture Partners",Private Equity,"6,00,00,000",Series D,,
644,05 February 2015,Kobster.com,Splice Advisors,SeedFunding,N/A,,,
645,05 February 2015,Culture Machine,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"1,80,00,000",Series B,,
646,05 February 2015,Paytm,Ant Financial Services (Alipay),Private Equity,N/A,Strategic Investment (25% stake),,
647,05 February 2015,Aisle.co,"Anand Vijay, Shashank Mehrotra & Others",SeedFunding,"1,00,000",,,
